"","X","annee","ndep","dep","s_nig","s_total","q_blanc","q_rouge","q_total","p_blanc","p_rouge","revenu","qk_prod","ql_prod"
"233",233,2011,"40","LANDES",900,2035,27753,9113,177002,48.59587398,59.68954902,959.043659,104464.3,95638.8
"234",234,2011,"41","LOIRET",2021,6792,27924,32019,393092,48.59587398,59.68954902,959.043659,79112.9,76831.3
"235",235,2011,"42","LOIR-ET-CHER",362,945,2134,7224,38923,48.59587398,59.68954902,959.043659,102360.5,95090.9
"236",236,2011,"43","HAUTE-GARONNE",43,43,31,677,708,48.59587398,59.68954902,959.043659,56327.6,107329.8
"237",237,2011,"44","LOIRE",3846,13112,151144,65653,773228,48.59587398,59.68954902,959.043659,51402,22901.8
"238",238,2011,"45","LOIRE-ATLANTIQUE",75,242,187,839,6879,48.59587398,59.68954902,959.043659,322675.4,147851.4
"239",239,2011,"46","LOT",1735,5257,198,74522,320966,48.59587398,59.68954902,959.043659,122433.8,57539.6
"240",240,2011,"47","LOT-ET-GARONNE",1602,6274,22728,47084,402500,48.59587398,59.68954902,959.043659,726720.3,187791.4
"241",241,2011,"48","LOZERE",13,13,0,83,311,48.59587398,59.68954902,959.043659,1047.2,4539
"242",242,2011,"49","MAINE-ET-LOIRE",2380,19662,40635,65980,1099960,48.59587398,59.68954902,959.043659,432470.7,186090.5
"243",243,2011,"50","MANCHE",0,0,0,0,0,48.59587398,59.68954902,959.043659,63512.8,73349.9
"244",244,2011,"51","MARNE",5,22395,125560,64,2089220,48.59587398,59.68954902,959.043659,1553125.4,657925.7
"245",245,2011,"52","HAUTE-LOIRE",66,100,432,740,5851,48.59587398,59.68954902,959.043659,1522.2,32140.9
"246",246,2011,"53","MAYENNE",1,1,77,19,96,48.59587398,59.68954902,959.043659,12440.3,48004.5
"247",247,2011,"54","MEURTHE-ET-MOSELLE",44,104,339,1726,5520,48.59587398,59.68954902,959.043659,19586.6,69798.3
"248",248,2011,"55","MEUSE",39,39,457,210,1856,48.59587398,59.68954902,959.043659,18484.4,126976.8
"249",249,2011,"56","MORBIHAN",0,0,0,0,0,48.59587398,59.68954902,959.043659,89350.4,58291.5
"250",250,2011,"57","MOSELLE",22,115,466,434,2386,48.59587398,59.68954902,959.043659,21966.7,90495.4
"251",251,2011,"58","NIEVRE",140,1487,661,1434,86795,48.59587398,59.68954902,959.043659,4980.3,8308.7
"252",252,2011,"59","NORD",1,1,6,1,7,48.59587398,59.68954902,959.043659,133108.4,98885.1
"253",253,2011,"60","OISE",1,1,3,1,4,48.59587398,59.68954902,959.043659,95088.3,172667.5
"254",254,2011,"61","ORNE",1,1,0,3,3,48.59587398,59.68954902,959.043659,66161,85896.9
"255",255,2011,"62","PAS-DE-CALAIS",0,0,0,0,0,48.59587398,59.68954902,959.043659,241963.7,234854
"256",256,2011,"63","PUY-DE-DOME",380,650,264,6767,19988,48.59587398,59.68954902,959.043659,38597,61763.5
"257",257,2011,"64","PYRENEES-ATLANTIQUES",273,2514,681,5460,107434,48.59587398,59.68954902,959.043659,202051.3,122185.3
"258",258,2011,"65","HAUTE-VIENNE",170,378,278,4486,15510,48.59587398,59.68954902,959.043659,7865.9,15225.8
"259",259,2011,"66","PYRENEES-ORIENTALES",7152,25252,24930,74801,1018282,48.59587398,59.68954902,959.043659,450764.8,112326.2
"260",260,2011,"67","BAS-RHIN",79,6425,17649,943,519171,48.59587398,59.68954902,959.043659,166627.3,81463
"261",261,2011,"68","HAUTES-PYRENEES",29,8635,19582,1311,662386,48.59587398,59.68954902,959.043659,22002.5,17373.6
"262",262,2011,"69","RHONE",358,17632,8718,29379,905390,48.59587398,59.68954902,959.043659,483149.7,167649.6
"263",263,2011,"70","HAUTE-SAONE",139,139,479,977,5163,48.59587398,59.68954902,959.043659,12333.9,77880.1
"264",264,2011,"71","SAONE-ET-LOIRE",138,12800,23802,6876,783005,48.59587398,59.68954902,959.043659,351455.8,158556.4
"265",265,2011,"72","SARTHE",91,241,970,1800,9358,48.59587398,59.68954902,959.043659,87429.4,108648.8
"266",266,2011,"73","SAVOIE",209,1936,4716,5975,126494,48.59587398,59.68954902,959.043659,134239.2,28003.4
"267",267,2011,"74","HAUTE-SAVOIE",126,269,6239,2521,17127,48.59587398,59.68954902,959.043659,57946.2,15650.2
"268",268,2011,"75","PARIS",0,0,0,0,0,48.59587398,59.68954902,959.043659,2679.2,492.7
"269",269,2011,"76","SEINE-MARITIME",0,0,0,0,0,48.59587398,59.68954902,959.043659,101728.1,116361.8
"270",270,2011,"77","SEINE-ET-MARNE",0,22,251,0,2132,48.59587398,59.68954902,959.043659,32228.4,81831.5
"271",271,2011,"78","YVELINES",0,0,0,0,0,48.59587398,59.68954902,959.043659,37965.8,37765.7
"272",272,2011,"79","DEUX-SEVRES",357,993,1600,10035,51846,48.59587398,59.68954902,959.043659,661667.8,273514.3
"273",273,2011,"80","SOMME",0,0,0,0,0,48.59587398,59.68954902,959.043659,395511.2,228129.5
"274",274,2011,"81","TARN",3763,6731,16193,74165,461133,48.59587398,59.68954902,959.043659,199434.9,92529.2
"275",275,2011,"82","TARN-ET-GARONNE",1006,1684,478,26599,109536,48.59587398,59.68954902,959.043659,431111.1,113996.3
"276",276,2011,"83","VAUCLUSE",6582,28457,3235,32477,1459755,48.59587398,59.68954902,959.043659,2486444.1,375509.8
"277",277,2011,"84","VENDEE",10219,46934,21142,116711,2191749,48.59587398,59.68954902,959.043659,55857.5,108848.9
"278",278,2011,"85","VAR",965,1471,5009,29254,74963,48.59587398,59.68954902,959.043659,1067292.1,151382.8
"279",279,2011,"86","VIENNE",1056,1641,5649,16017,88225,48.59587398,59.68954902,959.043659,52791.3,243584.6
"280",280,2011,"87","HAUTES-ALPES",6,6,0,33,188,48.59587398,59.68954902,959.043659,21839.9,10835.3
"281",281,2011,"88","VOSGES",31,31,18,612,630,48.59587398,59.68954902,959.043659,3888,11927.9
"282",282,2011,"89","YONNE",84,6994,46323,2808,468101,48.59587398,59.68954902,959.043659,167551.5,195472.6
"283",283,2011,"90","TERRITOIRE DE BELFORT",1,1,10,0,10,48.59587398,59.68954902,959.043659,975.3,1441.4
"284",284,2011,"91","ESSONNE",0,0,0,0,0,48.59587398,59.68954902,959.043659,9863.9,14848.4
"285",285,2011,"92","HAUTS-DE-SEINE",0,0,0,0,0,48.59587398,59.68954902,959.043659,2100,502
"286",286,2011,"93","SEINE-SAINT-DENIS",0,0,0,0,0,48.59587398,59.68954902,959.043659,6081.4,1018
"287",287,2011,"94","VAL-D'OISE",0,0,0,0,0,48.59587398,59.68954902,959.043659,17842.2,18048.5
"288",288,2011,"95","VAL-DE-MARNE",0,0,0,0,0,48.59587398,59.68954902,959.043659,5969.8,919.9
"289",289,2012,"01","AIN",304,864,3489,9020,37703,57.90157163,57.78598753,942.23533,120792.2,107052.4
"290",290,2012,"02","AISNE",7,2449,170,10,123781,57.90157163,57.78598753,942.23533,379615.1,303450.2
"291",291,2012,"03","ALLIER",137,697,537,2548,23492,57.90157163,57.78598753,942.23533,36965.7,90015.4
"292",292,2012,"04","ALPES-DE-HAUTE-PROVENCE",95,697,350,6421,40890,57.90157163,57.78598753,942.23533,68981,30656
"293",293,2012,"05","HAUTE-MARNE",25,110,53,290,3417,57.90157163,57.78598753,942.23533,4415.8,125749.1
"294",294,2012,"06","ALPES-MARITIMES",18,96,12,329,2403,57.90157163,57.78598753,942.23533,22650.2,6249.8
"295",295,2012,"07","ARDECHE",608,10489,10293,14594,550751,57.90157163,57.78598753,942.23533,142657.1,30858.1
"296",296,2012,"08","ARDENNES",1,1,9,9,18,57.90157163,57.78598753,942.23533,42969.6,53342.8
"297",297,2012,"09","ARIEGE",152,200,0,325,2093,57.90157163,57.78598753,942.23533,8503.6,17411.9
"298",298,2012,"10","AUBE",25,7018,204,574,404345,57.90157163,57.78598753,942.23533,683097.2,642478.1
"299",299,2012,"11","AUDE",3695,64435,32598,174278,3533977,57.90157163,57.78598753,942.23533,1406180,375675.8
"300",300,2012,"12","AVEYRON",310,622,188,4953,17387,57.90157163,57.78598753,942.23533,38764.4,45781
"301",301,2012,"13","BOUCHES-DU-RHONE",276,10051,1779,11980,548726,57.90157163,57.78598753,942.23533,646659.9,128478.9
"302",302,2012,"14","CALVADOS",0,3,0,0,104,57.90157163,57.78598753,942.23533,20782.2,40898.1
"303",303,2012,"15","CANTAL",3,11,5,64,296,57.90157163,57.78598753,942.23533,1868.2,16795.4
"304",304,2012,"16","CHARENTE",1035,39024,20456,35778,3739176,57.90157163,57.78598753,942.23533,1542720.4,458350.9
"305",305,2012,"17","CHARENTE-MARITIME",1469,38785,68623,46133,3999281,57.90157163,57.78598753,942.23533,893264.6,427477.4
"306",306,2012,"18","CHER",125,4085,403,1664,217078,57.90157163,57.78598753,942.23533,353973.9,260053
"307",307,2012,"19","CORREZE",136,205,8,2824,4749,57.90157163,57.78598753,942.23533,87944.8,17923.3
"308",308,2012,"21","COTE-D'OR",67,9484,552,1081,295199,57.90157163,57.78598753,942.23533,599501.8,426669.2
"309",309,2012,"22","COTES-D'ARMOR",0,0,0,0,0,57.90157163,57.78598753,942.23533,62959.3,40752.9
"310",310,2012,"23","CREUSE",0,0,0,0,0,57.90157163,57.78598753,942.23533,2345,25628.1
"311",311,2012,"24","DORDOGNE",847,12086,3937,18182,542002,57.90157163,57.78598753,942.23533,298010.2,109205.5
"312",312,2012,"25","DOUBS",17,36,201,254,690,57.90157163,57.78598753,942.23533,4745.2,35540.9
"313",313,2012,"26","DROME",231,16262,566,6006,734766,57.90157163,57.78598753,942.23533,568493.4,133247.5
"314",314,2012,"27","EURE",0,0,0,0,0,57.90157163,57.78598753,942.23533,70296.7,153497.5
"315",315,2012,"28","EURE-ET-LOIR",1,1,0,3,3,57.90157163,57.78598753,942.23533,122925.3,177271.2
"316",316,2012,"29","FINISTERE",0,0,0,0,0,57.90157163,57.78598753,942.23533,243194.8,238642.9
"317",317,2012,"2A","CORSE-DU-SUD",103,854,310,3488,31500,57.90157163,57.78598753,942.23533,38181.9,11760.2
"318",318,2012,"2B","HAUT-RHIN",233,4952,11801,4988,312333,57.90157163,57.78598753,942.23533,383875.1,212348.9
"319",319,2012,"30","GARD",3037,52666,41047,196850,3270564,57.90157163,57.78598753,942.23533,1490700.3,330375.5
"320",320,2012,"31","HAUTE-CORSE",188,1642,154,6145,86057,57.90157163,57.78598753,942.23533,183578.5,56467.8
"321",321,2012,"32","GERS",3216,18264,316535,55540,1703299,57.90157163,57.78598753,942.23533,1259488.4,266706.4
"322",322,2012,"33","GIRONDE",2352,115348,12408,168344,5622317,57.90157163,57.78598753,942.23533,4122377.1,1172228
"323",323,2012,"34","HERAULT",6580,80807,43883,362016,4792334,57.90157163,57.78598753,942.23533,2088113.7,622689.2
"324",324,2012,"35","ILLE-ET-VILAINE",0,0,0,0,0,57.90157163,57.78598753,942.23533,14910.3,58043.6
"325",325,2012,"36","INDRE",292,669,747,3290,18876,57.90157163,57.78598753,942.23533,59159.2,219600.4
"326",326,2012,"37","INDRE-ET-LOIRE",736,10012,4711,13026,380340,57.90157163,57.78598753,942.23533,979007.4,379653.1
"327",327,2012,"38","ISERE",325,582,1814,7234,21479,57.90157163,57.78598753,942.23533,122906.3,52124.5
"328",328,2012,"39","JURA",184,2192,2277,2024,74692,57.90157163,57.78598753,942.23533,67423,48527.2
"329",329,2012,"40","LANDES",310,1798,15754,4359,121006,57.90157163,57.78598753,942.23533,132033.2,135841.6
"330",330,2012,"41","LOIRET",1008,6905,6227,11903,209042,57.90157163,57.78598753,942.23533,90456.8,85446.6
"331",331,2012,"42","LOIR-ET-CHER",220,1044,2130,5845,36966,57.90157163,57.78598753,942.23533,120339,115978.2
"332",332,2012,"43","HAUTE-GARONNE",40,40,16,565,581,57.90157163,57.78598753,942.23533,266683.2,241767.9
"333",333,2012,"44","LOIRE",1510,12318,24597,31405,376580,57.90157163,57.78598753,942.23533,47552.5,31133.8
"334",334,2012,"45","LOIRE-ATLANTIQUE",21,225,78,394,4673,57.90157163,57.78598753,942.23533,515938.3,230680
"335",335,2012,"46","LOT",753,5090,130,36942,247952,57.90157163,57.78598753,942.23533,132114.8,59884.1
"336",336,2012,"47","LOT-ET-GARONNE",766,6208,19965,27552,360084,57.90157163,57.78598753,942.23533,829300,239941
"337",337,2012,"48","LOZERE",5,5,0,41,303,57.90157163,57.78598753,942.23533,918.7,5368.6
"338",338,2012,"49","MAINE-ET-LOIRE",1062,19520,12972,21129,845049,57.90157163,57.78598753,942.23533,749901.9,339967.8
"339",339,2012,"50","MANCHE",0,0,0,0,0,57.90157163,57.78598753,942.23533,72283.6,94267.7
"340",340,2012,"51","MARNE",5,23499,61,35,1478365,57.90157163,57.78598753,942.23533,2030675,914705.9
"341",341,2012,"52","HAUTE-LOIRE",26,101,218,373,4013,57.90157163,57.78598753,942.23533,1858.5,29057
"342",342,2012,"53","MAYENNE",1,1,19,12,31,57.90157163,57.78598753,942.23533,13531.4,72723
"343",343,2012,"54","MEURTHE-ET-MOSELLE",95,149,216,680,2382,57.90157163,57.78598753,942.23533,21352.4,102155.5
"344",344,2012,"55","MEUSE",7,38,198,22,1023,57.90157163,57.78598753,942.23533,16149.2,155071.4
"345",345,2012,"56","MORBIHAN",0,0,0,0,0,57.90157163,57.78598753,942.23533,69346.9,65643.3
"346",346,2012,"57","MOSELLE",35,57,75,164,742,57.90157163,57.78598753,942.23533,18643.7,140895.7
"347",347,2012,"58","NIEVRE",74,1500,413,903,84107,57.90157163,57.78598753,942.23533,5579.2,9284.4
"348",348,2012,"59","NORD",1,1,12,7,19,57.90157163,57.78598753,942.23533,190467.7,87419.1
"349",349,2012,"60","OISE",0,0,0,0,0,57.90157163,57.78598753,942.23533,81111.6,205536.6
"350",350,2012,"61","ORNE",0,0,0,0,0,57.90157163,57.78598753,942.23533,73393.6,104971.1
"351",351,2012,"62","PAS-DE-CALAIS",0,0,0,0,0,57.90157163,57.78598753,942.23533,379168.3,265116.8
"352",352,2012,"63","PUY-DE-DOME",224,565,229,5656,18841,57.90157163,57.78598753,942.23533,30181.4,55697.7
"353",353,2012,"64","PYRENEES-ATLANTIQUES",143,2495,679,4336,107939,57.90157163,57.78598753,942.23533,191436.2,110847.7
"354",354,2012,"65","HAUTE-VIENNE",124,364,205,2984,11336,57.90157163,57.78598753,942.23533,6241.7,19190.6
"355",355,2012,"66","PYRENEES-ORIENTALES",842,23866,12163,20375,710081,57.90157163,57.78598753,942.23533,1357352.8,199210.4
"356",356,2012,"67","BAS-RHIN",56,6628,2628,183,506830,57.90157163,57.78598753,942.23533,183259.5,87153.3
"357",357,2012,"68","HAUTES-PYRENEES",24,8954,1355,116,663088,57.90157163,57.78598753,942.23533,32059.1,25393
"358",358,2012,"69","RHONE",313,17515,1758,5640,570831,57.90157163,57.78598753,942.23533,511421.2,178813.9
"359",359,2012,"70","HAUTE-SAONE",36,117,197,409,2246,57.90157163,57.78598753,942.23533,14768.5,85267.2
"360",360,2012,"71","SAONE-ET-LOIRE",111,12953,1523,1541,613693,57.90157163,57.78598753,942.23533,427529.4,250186.6
"361",361,2012,"72","SARTHE",105,252,375,799,4375,57.90157163,57.78598753,942.23533,154762.2,117613.5
"362",362,2012,"73","SAVOIE",155,1968,2380,3290,111299,57.90157163,57.78598753,942.23533,127756.6,25726.4
"363",363,2012,"74","HAUTE-SAVOIE",130,279,5653,2764,14442,57.90157163,57.78598753,942.23533,33568.9,8741.1
"364",364,2012,"75","PARIS",0,0,0,0,0,57.90157163,57.78598753,942.23533,1078.8,544.4
"365",365,2012,"76","SEINE-MARITIME",0,0,0,0,0,57.90157163,57.78598753,942.23533,160081,130796.3
"366",366,2012,"77","SEINE-ET-MARNE",0,22,0,0,1292,57.90157163,57.78598753,942.23533,32705,69914.8
"367",367,2012,"78","YVELINES",0,0,0,0,0,57.90157163,57.78598753,942.23533,48429.3,46923.1
"368",368,2012,"79","DEUX-SEVRES",290,1021,689,7262,45444,57.90157163,57.78598753,942.23533,622248,219353
"369",369,2012,"80","SOMME",0,0,0,0,0,57.90157163,57.78598753,942.23533,346074.9,281729.4
"370",370,2012,"81","TARN",1125,6664,26786,52300,417492,57.90157163,57.78598753,942.23533,221535.9,116943.8
"371",371,2012,"82","TARN-ET-GARONNE",458,1631,495,17858,87579,57.90157163,57.78598753,942.23533,444399.4,123993.1
"372",372,2012,"83","VAUCLUSE",466,28161,1382,20072,1268604,57.90157163,57.78598753,942.23533,2388920.3,429266.4
"373",373,2012,"84","VENDEE",1693,46890,20226,50375,1955689,57.90157163,57.78598753,942.23533,68246.1,121590
"374",374,2012,"85","VAR",692,1457,2539,18389,45866,57.90157163,57.78598753,942.23533,981030,145844.9
"375",375,2012,"86","VIENNE",587,1614,1293,9619,58962,57.90157163,57.78598753,942.23533,74862.2,204967.9
"376",376,2012,"87","HAUTES-ALPES",2,7,0,22,280,57.90157163,57.78598753,942.23533,32691.7,10990.4
"377",377,2012,"88","VOSGES",81,81,18,405,423,57.90157163,57.78598753,942.23533,4726.2,25378
"378",378,2012,"89","YONNE",61,7150,472,1238,381125,57.90157163,57.78598753,942.23533,300285.1,252618.6
"379",379,2012,"90","TERRITOIRE DE BELFORT",1,1,3,0,9,57.90157163,57.78598753,942.23533,942.9,1250.9
"380",380,2012,"91","ESSONNE",0,0,0,0,0,57.90157163,57.78598753,942.23533,12610.3,19928.4
"381",381,2012,"92","HAUTS-DE-SEINE",0,0,0,0,0,57.90157163,57.78598753,942.23533,1537.9,486.9
"382",382,2012,"93","SEINE-SAINT-DENIS",0,0,0,0,0,57.90157163,57.78598753,942.23533,3080.3,1239.8
"383",383,2012,"94","VAL-D'OISE",0,0,0,0,0,57.90157163,57.78598753,942.23533,14911.3,33154.4
"384",384,2012,"95","VAL-DE-MARNE",0,0,0,0,0,57.90157163,57.78598753,942.23533,4228.2,1006.7
"385",385,2013,"01","AIN",242,803,3857,8692,38559,73.9380974,64.65650726,917.7323532,442356.9,247136.8
"386",386,2013,"02","AISNE",7,2474,423,17,219627,73.9380974,64.65650726,917.7323532,619491.9,344195.2
"387",387,2013,"03","ALLIER",125,685,436,2094,20032,73.9380974,64.65650726,917.7323532,40736.6,95977.1
"388",388,2013,"04","ALPES-DE-HAUTE-PROVENCE",106,711,424,4353,36266,73.9380974,64.65650726,917.7323532,99854,47148.3
"389",389,2013,"05","HAUTE-MARNE",41,144,62,340,5455,73.9380974,64.65650726,917.7323532,3354.7,102303.9
"390",390,2013,"06","ALPES-MARITIMES",44,125,14,223,1879,73.9380974,64.65650726,917.7323532,22418.1,10272.9
"391",391,2013,"07","ARDECHE",617,10405,12905,10617,517896,73.9380974,64.65650726,917.7323532,168072.3,35493.8
"392",392,2013,"08","ARDENNES",1,1,12,6,18,73.9380974,64.65650726,917.7323532,27558.8,59141.1
"393",393,2013,"09","ARIEGE",139,161,78,476,1251,73.9380974,64.65650726,917.7323532,7055.5,26116.7
"394",394,2013,"10","AUBE",23,7088,272,617,554229,73.9380974,64.65650726,917.7323532,836981.2,636220.3
"395",395,2013,"11","AUDE",5277,65614,73258,302029,3892421,73.9380974,64.65650726,917.7323532,1641172.5,795361.2
"396",396,2013,"12","AVEYRON",240,556,153,3741,13423,73.9380974,64.65650726,917.7323532,53085.6,73447
"397",397,2013,"13","BOUCHES-DU-RHONE",252,10001,4366,6140,507832,73.9380974,64.65650726,917.7323532,414238.1,116059.6
"398",398,2013,"14","CALVADOS",1,6,1,0,168,73.9380974,64.65650726,917.7323532,21787.3,44202
"399",399,2013,"15","CANTAL",3,11,0,55,219,73.9380974,64.65650726,917.7323532,1925.5,17221
"400",400,2013,"16","CHARENTE",840,39058,6217,22262,3907256,73.9380974,64.65650726,917.7323532,1931370.1,630428.9
"401",401,2013,"17","CHARENTE-MARITIME",1232,38705,22809,24177,3979850,73.9380974,64.65650726,917.7323532,1050762.7,515985.2
"402",402,2013,"18","CHER",105,4114,527,1834,229513,73.9380974,64.65650726,917.7323532,367307.8,93038.4
"403",403,2013,"19","CORREZE",117,179,35,1545,3530,73.9380974,64.65650726,917.7323532,96633.8,21743.2
"404",404,2013,"21","COTE-D'OR",77,9407,366,879,356391,73.9380974,64.65650726,917.7323532,637075.6,433448.5
"405",405,2013,"22","COTES-D'ARMOR",0,0,0,0,0,73.9380974,64.65650726,917.7323532,59092.9,42233.9
"406",406,2013,"23","CREUSE",0,0,0,0,0,73.9380974,64.65650726,917.7323532,2565.8,39166.8
"407",407,2013,"24","DORDOGNE",735,11899,4552,9717,389812,73.9380974,64.65650726,917.7323532,344731,126351.8
"408",408,2013,"25","DOUBS",19,36,191,224,768,73.9380974,64.65650726,917.7323532,6072.1,53161.2
"409",409,2013,"26","DROME",480,16263,503,4715,627229,73.9380974,64.65650726,917.7323532,783787.4,157868.1
"410",410,2013,"27","EURE",0,0,0,0,0,73.9380974,64.65650726,917.7323532,66908.9,222267.7
"411",411,2013,"28","EURE-ET-LOIR",1,1,0,9,9,73.9380974,64.65650726,917.7323532,87425.5,170272.6
"412",412,2013,"29","FINISTERE",0,0,0,0,0,73.9380974,64.65650726,917.7323532,186743.7,257343.9
"413",413,2013,"2A","CORSE-DU-SUD",89,845,350,3397,34585,73.9380974,64.65650726,917.7323532,44811.6,15472.2
"414",414,2013,"2B","HAUT-RHIN",279,4978,10117,9634,347660,73.9380974,64.65650726,917.7323532,398450.4,219758.6
"415",415,2013,"30","GARD",2886,53011,27147,182591,3197642,73.9380974,64.65650726,917.7323532,2191564.1,462626
"416",416,2013,"31","HAUTE-CORSE",180,1596,194,3637,56950,73.9380974,64.65650726,917.7323532,198535.7,65340.8
"417",417,2013,"32","GERS",1881,18278,124568,17902,1283269,73.9380974,64.65650726,917.7323532,1251186.3,326078.9
"418",418,2013,"33","GIRONDE",1585,115416,8884,36135,3964661,73.9380974,64.65650726,917.7323532,4996688.4,1536180.8
"419",419,2013,"34","HERAULT",8400,80918,148947,679217,5716091,73.9380974,64.65650726,917.7323532,2213466.9,817616.9
"420",420,2013,"35","ILLE-ET-VILAINE",0,0,0,0,0,73.9380974,64.65650726,917.7323532,16775.8,58152.8
"421",421,2013,"36","INDRE",188,557,1470,4877,27399,73.9380974,64.65650726,917.7323532,80474.2,299838.2
"422",422,2013,"37","INDRE-ET-LOIRE",627,9937,10699,18920,418541,73.9380974,64.65650726,917.7323532,517324.8,437901.7
"423",423,2013,"38","ISERE",309,610,1414,3909,15905,73.9380974,64.65650726,917.7323532,157289.3,46394.3
"424",424,2013,"39","JURA",168,2105,1907,1580,58288,73.9380974,64.65650726,917.7323532,88338.4,58237.6
"425",425,2013,"40","LANDES",238,1671,6394,2415,90718,73.9380974,64.65650726,917.7323532,178693.8,152478.6
"426",426,2013,"41","LOIRET",743,6552,11237,22300,345089,73.9380974,64.65650726,917.7323532,87337.8,89540.7
"427",427,2013,"42","LOIR-ET-CHER",169,924,1098,3414,28306,73.9380974,64.65650726,917.7323532,523674.8,160757.1
"428",428,2013,"43","HAUTE-GARONNE",37,37,29,486,515,73.9380974,64.65650726,917.7323532,92119.7,113524.5
"429",429,2013,"44","LOIRE",1319,11967,40556,44821,642999,73.9380974,64.65650726,917.7323532,55465.3,32277.1
"430",430,2013,"45","LOIRE-ATLANTIQUE",23,203,109,602,5771,73.9380974,64.65650726,917.7323532,576023.7,272352.4
"431",431,2013,"46","LOT",611,5055,130,12051,146451,73.9380974,64.65650726,917.7323532,245181.4,75099.1
"432",432,2013,"47","LOT-ET-GARONNE",612,6241,6287,14099,279431,73.9380974,64.65650726,917.7323532,1157820.2,317626.8
"433",433,2013,"48","LOZERE",2,11,21,221,461,73.9380974,64.65650726,917.7323532,1017,6336.5
"434",434,2013,"49","MAINE-ET-LOIRE",1050,19540,21356,28128,994432,73.9380974,64.65650726,917.7323532,781541.9,329184.5
"435",435,2013,"50","MANCHE",0,0,0,0,0,73.9380974,64.65650726,917.7323532,82675.2,90421.5
"436",436,2013,"51","MARNE",5,23945,75,60,2043341,73.9380974,64.65650726,917.7323532,1918995.6,980459.5
"437",437,2013,"52","HAUTE-LOIRE",37,105,603,664,5798,73.9380974,64.65650726,917.7323532,2022.2,30942.2
"438",438,2013,"53","MAYENNE",2,2,49,32,81,73.9380974,64.65650726,917.7323532,12166.3,88857.6
"439",439,2013,"54","MEURTHE-ET-MOSELLE",207,274,462,1050,3901,73.9380974,64.65650726,917.7323532,17936.7,108543.8
"440",440,2013,"55","MEUSE",17,48,309,78,1903,73.9380974,64.65650726,917.7323532,19088.7,166383.3
"441",441,2013,"56","MORBIHAN",0,0,0,0,0,73.9380974,64.65650726,917.7323532,85660.1,76528.1
"442",442,2013,"57","MOSELLE",39,70,648,870,2690,73.9380974,64.65650726,917.7323532,14887.1,150503.6
"443",443,2013,"58","NIEVRE",53,1666,398,1046,81397,73.9380974,64.65650726,917.7323532,6384.4,8170.8
"444",444,2013,"59","NORD",1,1,15,20,35,73.9380974,64.65650726,917.7323532,273160.8,109635.1
"445",445,2013,"60","OISE",1,1,3,1,4,73.9380974,64.65650726,917.7323532,70268.5,273125.5
"446",446,2013,"61","ORNE",1,1,0,5,5,73.9380974,64.65650726,917.7323532,73575.1,88588
"447",447,2013,"62","PAS-DE-CALAIS",0,0,0,0,0,73.9380974,64.65650726,917.7323532,436160,292845.3
"448",448,2013,"63","PUY-DE-DOME",290,635,208,4710,16934,73.9380974,64.65650726,917.7323532,29022.1,54767.5
"449",449,2013,"64","PYRENEES-ATLANTIQUES",283,2649,410,1920,78026,73.9380974,64.65650726,917.7323532,241973.2,139381.5
"450",450,2013,"65","HAUTE-VIENNE",107,341,128,1909,11529,73.9380974,64.65650726,917.7323532,6792.6,22488.1
"451",451,2013,"66","PYRENEES-ORIENTALES",761,23496,16965,25764,773826,73.9380974,64.65650726,917.7323532,585128.1,136080
"452",452,2013,"67","BAS-RHIN",48,6642,2161,181,441286,73.9380974,64.65650726,917.7323532,169580.1,80963.9
"453",453,2013,"68","HAUTES-PYRENEES",22,8965,837,104,553451,73.9380974,64.65650726,917.7323532,45684.5,29196.1
"454",454,2013,"69","RHONE",274,17075,1605,8083,761962,73.9380974,64.65650726,917.7323532,529403.6,132184.1
"455",455,2013,"70","HAUTE-SAONE",57,118,392,814,2821,73.9380974,64.65650726,917.7323532,18409.6,77147.6
"456",456,2013,"71","SAONE-ET-LOIRE",133,13181,1619,1672,642862,73.9380974,64.65650726,917.7323532,502879.6,195251.7
"457",457,2013,"72","SARTHE",80,225,778,1173,7798,73.9380974,64.65650726,917.7323532,127973.7,129946.4
"458",458,2013,"73","SAVOIE",111,1901,1777,3210,101940,73.9380974,64.65650726,917.7323532,122257.3,24291.7
"459",459,2013,"74","HAUTE-SAVOIE",119,268,5251,1826,12843,73.9380974,64.65650726,917.7323532,45238,14548.8
"460",460,2013,"75","PARIS",0,0,0,0,0,73.9380974,64.65650726,917.7323532,684.1,167
"461",461,2013,"76","SEINE-MARITIME",0,0,0,0,0,73.9380974,64.65650726,917.7323532,139130.5,164796.3
"462",462,2013,"77","SEINE-ET-MARNE",0,22,0,0,1901,73.9380974,64.65650726,917.7323532,28097.1,70471.1
"463",463,2013,"78","YVELINES",0,0,0,0,0,73.9380974,64.65650726,917.7323532,36106.3,70574
"464",464,2013,"79","DEUX-SEVRES",375,1045,1683,6548,47591,73.9380974,64.65650726,917.7323532,969496.6,370387.2
"465",465,2013,"80","SOMME",0,0,0,0,0,73.9380974,64.65650726,917.7323532,355337.6,286672.1
"466",466,2013,"81","TARN",1218,6876,16486,28706,309638,73.9380974,64.65650726,917.7323532,209069.3,130368.7
"467",467,2013,"82","TARN-ET-GARONNE",423,1555,437,13965,61430,73.9380974,64.65650726,917.7323532,456517.9,158281.9
